"","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","TARGET"
"267",6.7,0.8,0.44,24.4,0.048,39,137,0.9942,3.24,0.35,11.4,1,7,1,3
"268",7,0.15,1.05,23.9,0.051,29,149,1.02894,2.96,0.92,9,1,7,3,4
"269",8.4,0.35,0.24,27.3,0.034,531,133,0.9906,3.34,0.87,12,0,7,0,1
"270",8.3,0.19,2.04,48,0.037,152,180,0.9926,3.06,0.4686,10,0,9,3,4
"271",12.8,1.52,0.16,59.4,0.065,56,235.5,0.95684,4.48,0.41,12.7,1,8,0,1
"272",7.4,0.4,0.86,10.1,0.112,37,194,0.98343,3.2,0.63,11.7,0,8,2,4
"273",0.1,0.96,0.31,1.3,0.448,47,98,0.98907,3.42,0.5,10.1,0,8,0,1
"274",7.8,0.57,0.99,9.9,0.577,108,181,1.04239,3.19,0.04,10.9,1,8,2,4
"275",8.6,0.26,0.66,2.2,0.254,6,169,0.9903,4.64,0.42,12.9,2,8,3,5
"276",1.3,0.23,0.35,12.1,0.174,128,212,1.01119,3.34,1.41,8.9,1,8,2,4
"277",6.7,1.74,0.66,8.9,0.334,75,111,0.9968,3.25,0.7287,11,0,7,0,1
"278",6.5,0.09,0.99,32.2,0.20146,12,166,0.98485,4.46,0.9164,3.2,1,7,1,3
"279",4.5,0.03,0.41,1.3,0.044,25,171,0.99293,3.28,0.93,10.3,0,8,2,4
"280",7.9,0.705,0.26,29.2,0.057,40,190,0.9932,2.76,0.39,17.4,1,8,2,4
"281",3.3,0.39,0.58,8.2,0.359,252,251,0.99275,3.28,1.27,12.2,0,8,2,4
"282",7.7,0.22,1.19,44.8,0.029,41,7,1.02145,3.2622,0.99,15.5,1,8,0,1
"283",8.3,1.18,0.38,1.1,0.038,249,75,0.96249,2.06,0.43,9.2,0,9,0,1
"284",10.2,1.57,0.64,22.6,0.41,251,41,1.01022,3.23,0.66,12.5,0,11,3,4
"285",6.8,0.11,0.34,45.9,0.02,38,66,0.99212,2.8,0.48,12,0,8,3,5
"286",4.8,0.15,0.17,17.1,0.552,180,171,0.99709,3.03,0.7562,10.3,1,8,2,4
"287",3.8,0.18,1.56,0.2,0.038,70,415,1.00091,3.32,0.19,11.2,1,7,3,4
"288",13.8,1.16,0.18,31.215,0.027,70,143,0.94694,2.49,1.16,6.9,2,7,3,4
"289",17.2,0.17,1.05,102.4,0.059,103.16,331,0.99322,4.31,0.46,11,1,8,1,3
"290",11.8,0.19,0.34,1.8,0.248,22,151,1.02444,2.87,0.66,11.1,0,8,2,4
"291",3.4,0.29,0.56,11.9,0.103,148,230,1.01998,3.02,0.8,9.3,0,8,0,1
"292",6.4,0.06,0.28,40.4,0.039,53,124,1.02858,3.2,0.43,12.7,2,7,2,4
"293",14.7,1.45,1.81,55.2,0.354,57,400,0.99196,3.25,0.15,14.6,1,8,0,1
"294",7.3,0.32,1.49,19,0.122,130.58,185,1.03159,3.07,0.62,10.6,0,8,0,1
"295",4.2,1.56,0.25,28.5,0.191,8,120,0.93701,4.38,0.8491,9.8,1,7,2,4
"296",5,0.33,0.16,69.7,0.049,10,223,1.01528,4.74,0.44,10.7,0,5,0,2
"297",3.6,1.53,0.06,35.7,0.29326,165,852,1.00164,3.81,0.5,1.85,1,7,0,2
"298",9.2,0.21,0.86,28.1,0.33951,131,151,1.08195,3.04,1.13,10.2,2,10,0,1
"299",6.2,1.83,0.02,0.5,0.036,38,22,0.99622,2.73,0.7474,9.4,1,7,0,1
"300",0.7,1.82,1.81,2.1,0.108,272,52,0.9742,3.4,0.9119,11,1,8,1,3
"301",6.2,1.69,1.17,138.2,0.05,295,54,0.9874,3.33,0.46,6.2,1,7,2,4
"302",3.1,0.415,0.32,25.1,0.047,20,152,1.02263,3.88,0.42,4.2,1,6,2,4
"303",8.1,0.235,1.25,32.3,0.08,103,339,0.97772,3.3,1.18,9,1,9,1,3
"304",5.6,0.26,0,24,0.038,48,111,0.94448,3.01,0.46,12.4,0,6,2,4
"305",11.6,1.15,1.24,1.1,0.032,113,843,0.99207,2.73,0.36,12.5,1,7,3,4
"306",7.6,1.15,1.37,4.3,0.054,297,105,0.9956,3.12,0.49,6,1,8,2,4
"307",6.5,0.08,0.23,9.4,0.207,112,381,0.97324,4.37,1.16,9.9,1,7,2,4
"308",3.1,1.56,0.23,27.1935,0.258,43,9,0.96367,4.04,2.12,13.1,1,8,0,0
"309",0.2,0.63,0.24,17.8,0.643,101.755,124,0.97312,4.3,0.45,10.1,0,6,1,3
"310",1.4,0.43,0.41,34.3,0.542,103,167,1.0421,3.16,0.53,8.9,0,8,0,1
"311",7.4,0.32,0.55,7.7,0.056,183,238,0.91352,2.96,0.58,8.7,1,8,2,4
"312",5.8,0.17,0.34,44.7,0.602,96,377,0.98227,3.94,1.62,10.2,1,6,1,3
"313",5.3,0.96,1.06,1.2,0.979,48,119,1.04199,2.89,2.38,14.1,0,8,1,3
"314",6.5,0.24,0.29,16.799,0.147,9,424,0.96813,3.13,0.7,10.1,0,7,3,4
"315",17.3,0.33,0.34,1.4,0.056,161,528,0.9946,5.01,0.47,5.4,1,10,1,2
"316",14.5,0.28,0.1,33.5,0.17,29,224,0.97736,3.27,0.9686,10.6,0,8,2,4
"317",18.2,0.67,0.29,27.424,0.05,41,89,0.99556,1.37,0.54,9.8,1,8,0,1
"318",16.5,0.18,0.48,6.9,0.186,64,6,0.9945,2.39,0.4,17,0,7,0,2
"319",13,1.37,1.14,8.6,0.06,112,164,0.9935,3.08,0.26,8.5,1,8,2,4
"320",7.4,0.87,0.42,59.6,0.169,48,280,0.9979,1.98,0.42,13.8,0,8,0,1
"321",5.6,0.3,0.65,8.3,0.419,94,142,0.98784,4.8,0.07,4.5,1,6,3,4
"322",7.2,0.95,0.18,2.1,0.413,171,31,0.99761,3.66,0.83,9.6,1,8,1,3
"323",6.3,1.28,1.44,6.6,0.097,203,356,0.99478,3.1,0.4,8.4,0,7,3,4
"324",7.5,0.26,0.59,11.8,0.046,59,140,1.03292,3,0.46,6.2,1,8,2,4
"325",6.5,0.31,0.14,13.5,0.044,34,255,0.97967,2.98,1.07,11.7,1,7,0,1
"326",11.9,1.57,1.42,22.5,0.062,155,37,0.99535,3.12,0.55,6.6,1,8,0,1
"327",4.1,0.37,1.37,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,2,7,4,5
"328",16.4,0.24,1.93,2,0.041,14,102,0.96009,3.04,0.45,11.6,0,6,4,5
"329",16.1,0.15,1.47,5,0.33,183,526,0.95857,3.3838,0.71,3.7,0,6,0,2
"330",13.7,0.46,1.24,109.2,0.054,7,276,0.99508,2.26,1.06,11.5,1,8,0,1
"331",7.2,0.53,0.39,30.2,0.053,26,393,0.99166,3.31,3.55,10,1,8,4,5
"332",0.8,0.26,2.65,8.1,0.121,322,119,1.02509,2.65,0.61,9.7275,1,7,2,4
"333",6.5,0.32,0.36,3.4,0.532,34,186,0.9937,3.14,0.76,10,1,7,1,3
"334",6.2,0.74,1.07,1,0.289,232,148,0.9927,3.2756,0.45,14.3,1,7,2,4
"335",16.3,1.09,0.36,25.6365,0.031,144,268,1.03808,3.28,2.59,10.595,1,8,4,5
"336",4.4,0.3,1.66,1.4,0.032,1,161,1.01229,2.9,0.42,15.4,0,8,3,5
"337",5.5,0.5,0.03,1.8,0.573,14,87,1.02355,3.69,1.49,14,0,6,2,4
"338",10.3,1.26,0.31,30.6945,0.238,245,17,0.99818,2.93,0.32,11.5,1,9,0,1
"339",11.1,1.39,0.08,4.4,0.373,87.815,32,0.99646,3.56,1.56,11.8,0,7,0,1
"340",9.7,0.69,1.7,40,0.088,56,91,0.99681,2.82,0.62,10.1,1,11,0,0
"341",1,0.27,0.42,48.6,0.097,45,444,1.04537,2.13,0.67,12.3,0,7,3,4
"342",24.4,0.27,0.48,46.8,0.551,17,132,0.9914,3.19,0.8999,16.5,1,8,4,5
"343",4.2,1.19,0.17,1.6,0.144,78,129,0.9763,3.22,0.84,11.4,0,6,2,4
"344",6.8,0.75,0.49,44.1,0.142,52,225,0.9937,3.49,2.11,9,0,8,3,5
"345",11.6,0.18,0.88,16.6,0.047,60,142,0.95971,3.93,2.49,10.5,1,7,3,5
"346",1.5,0.22,1.6,115.8,0.573,30,96,1.03859,4.18,1.94,13.1,0,7,4,6
"347",5.8,0.53,1.32,50.1,0.038,49,133,0.96414,3.16,0.63635,11.7,0,6,2,4
"348",10.3,0.18,0.3,6.4,0.026,243,251,0.9956,2.99,0.52,8.6,1,7,1,3
"349",6,1.67,1.51,46.4,0.422,50,48,1.01553,3.3,1.67,8.5,0,6,2,4
"350",2.2,0.31,1.38,4,0.023,108.015,237,1.00832,2.68,0.809,11.6,1,7,3,4
"351",6.7,1.67,1.15,49.05,0.041,118.5,216,0.9949,2.27,0.66,15.5,0,7,1,3
"352",6.6,0.26,0.29,0.5,0.42,82,114,0.99295,1.7,0.38,10.5,1,7,2,4
"353",7.2,0.16,1.09,27.426,0.16,107.125,84,0.99007,3.33,1.61,13.9,0,8,1,3
"354",6.6,0.17,1.35,109.7,0.416,106,123,0.99207,3.13,0.45,10.2,1,7,2,4
"355",6.2,0.89,1.92,4.6,0.031,261,73,0.99032,3.37,0.52,11.3,0,7,2,4
"356",6.8,3.17,0.14,6.9,0.118,32,133,0.96245,3.27,1.23,7.7,0,7,3,5
"357",0.2,0.33,0.32,4.6,0.041,31,227,0.98303,3.05,0.74,15.1,2,9,1,3
"358",6.7,0.27,1.28,23.9,0.036,44,179,1.09858,2.88,2.09,9.6,1,7,1,3
"359",14.1,0.21,0.28,36.5,0.535,29,132,0.99278,4.9,1.53,11,0,7,1,3
"360",17.5,0.47,0.99,2.4,0.074,515,29,0.9979,3.08,0.87,9.5,1,10,2,4
"361",7.4,0.21,0.3,8.1,0.047,13,128,1.03086,1.95,0.35,12.1,1,8,4,5
"362",0.8,0.71,0.49,2.5,0.512,31,137,0.99014,2,0.5,11.3,0,7,1,3
"363",3.5,0.2,0.76,34.1,0.382,450,116,0.98993,4.61,0.16,10.8,0,6,3,5
"364",15.8,0.32,0.41,2.2,0.20914,24,260,0.99778,2.21,2.47,9.5,1,9,1,3
"365",2.2,0.13,0.73,16.1,0.037,13,101,0.93175,3.17,2.05,17.9,1,7,0,1
"366",11,0.48,0.24,15.7,0.102,13,35,1,3.08,0.56,10,0,11,0,0
"367",11.5,0.19,0.31,51.9,0.251,446,510,0.99,3.06,0.45,11.8,0,7,1,3
"368",20.5,1.46,1.27,27.2,0.499,12,7,0.98329,3.16,0.7,13.9,0,10,0,0
"369",11.8,0.24,0.41,8.7,0.115,306,271,0.97346,3.22,0.62,12.5,1,7,2,4
"370",7.9,0.63,0.99,14.1,0.756,238,148,1.02933,3.16,0.5,10.37,0,8,2,4
"371",11.2,0.255,0.65,22.7,0.627,237,253,0.99307,4,0.9757,10.4,1,7,2,4
"372",7.1,1.53,0.4,6.3,0.172,72,188,0.99566,3.28,1.57,12,0,9,0,1
"373",6,0.05,0.95,1.8,0.03,117.535,105,0.98946,3.31,0.16,10.7,1,6,1,3
"374",8.4,0.43,1.94,14.9,0.032,60,339,1.02038,4.16,0.61,8.6,1,8,2,4
"375",6.9,0.35,0.98,10.9,0.076,238,137,1.04651,2.94,0.81,11,0,9,1,3
"376",6.9,0.59,0.5,19.25,0.043,169,590,0.99954,2.93,1.83,9.1,1,7,3,4
"377",6.3,2.93,0.91,2.5,0.035,281,830,0.9468,2.46,0.47,13.3,1,7,1,3
"378",7.5,0.05,0.47,36,0.058,26,111,0.99834,2.56,0.34,10.7,2,8,3,4
"379",15.3,0.27,0.19,48.7,0.085,147,169,0.95058,2.36,2.32,7.2,1,7,1,3
"380",12.4,1.15,0.22,53.8,0.046,18,66,0.96567,5.06,0.51,10.3,0,7,3,5
"381",17.2,0.26,0.3,2,0.453,13,930,1.01126,3.61,0.49,15,0,8,1,3
"382",14.1,0.67,0.86,61,0.41,199,115,0.9909,4.13,2.14,12.1568333334,0,6,2,4
"383",6.2,2.82,0.2,1.6,0.069,214,196,0.98985,3.41,0.56,6.4,0,7,3,4
"384",5.8,0.26,0.24,65.6,0.044,55,67,0.97195,4.11,1.41,10.5,0,6,1,3
"385",15.6,0.21,0.28,66.7,0.159,288,241,0.95398,3.25,0.72,8.5,1,7,1,3
"386",7.6,0.22,0.32,12,0.056,221,495,1.01667,2.99,0.3,9.2,0,8,2,4
"387",1.3,0.5,0.38,7.5,0.81,10,252,1.00397,3.87,0.07,9.1,1,8,3,4
"388",7,1.98,0.17,26.4055,0.123,15,263,0.99514,3.44,1.07,10.55,0,8,3,5
"389",8.7,0.38,1.32,27.3,0.272,81,180.99,1.04709,3.17,0.68,9.8,0,14,1,1
"390",5.9,0.445,1.23,56.8,0.071,113.47,109,0.9453,3.5,0.36,10.5,0,7,1,3
"391",1.7,1.44,0.34,38.5,0.012,445,428,0.99627,2.43,0.9025,3.2,0,8,0,1
"392",8.8,0.55,1.04,10.2,0.601,272,135,0.99658,3.3,0.957,5.5,1,10,1,2
"393",0.3,1.03,0.28,28.805,0.062,191,158,0.89337,3.17,0.9,6.8,0,8,1,3
"394",10.7,0.4,0.47,2.1,0.125,70.46,49,0.998,3.03,0.81,9.7,0,12,2,3
"395",0.7,1.41,0.19,5.1,0.178,6,114,0.99938,3.25,3.05,6.8,1,7,2,4
"396",23.6,0.29,2.02,14.6,0.528,142.725,386,1.08173,3.51,4.01,11.4,1,7,0,1
"397",6.9,1.43,0.27,15,0.268,117,209,0.97531,3.14,3.22,9.2,1,7,2,4
"398",7.9,0.18,0.66,48.9,0.262,25,267,0.995,0.95,0.53,10,2,8,3,4
"399",9,0.34,0.21,12.6,0.359,38,41,0.9942,4,1.11,11.7,1,8,2,4
"400",6.8,0.08,0.24,7.8,0.514,54,214,0.9961,3.89,0.38,7.6,0,7,2,4
"401",4.4,0.32,0.41,7.9,0.413,146,109,0.9906,2.91,0.46,14.8,1,8,2,4
"402",16.7,0.28,0.31,37.45,0.133,48,161,1.0406,2.86,1.65,3.6,1,7,0,1
"403",16.5,0.87,0.31,5.2,0.099,36,77,1.00421,3.35,0.8556,12.3,1,8,1,3
"404",6.3,0.025,0.08,16,0.285,26,141,0.99824,3.08,0.5,10.4,0,7,3,4
"405",6.4,0.65,0.44,56.5,0.043,96,201,0.95229,2.85,0.48,9.5,2,7,0,2
"406",15.8,0.25,0.3,1.6,0.001,226,134,0.993,2.09,0.49,10.1,0,7,3,4
"407",5,0.17,1.8,46.7,0.183,150,499,1.04099,2.93,0.57,12.8,1,6,2,4
"408",6.6,0.895,0.77,27.6,0.068,289,13,0.99582,2.92,0.58,10.8,0,8,2,4
"409",6.5,1.14,1.79,7.6,0.508,180,208.31,0.95017,2.8,0.61,9.7,0,7,2,4
"410",5.3,0.36,0.69,13.25,0.034,377,475,0.9952,3.82,0.78,13.4,0,6,2,4
"411",8,0.76,1.11,3.1,0.363,509,116,0.95825,3.18,0.830899999999999,10.8,0,9,0,1
"412",0.7,0.32,0.26,12.3,0.044,140,205,0.99611,3.11,1.99,9.9,0,7,1,3
"413",11.6,0.44,0,2.1,0.132,95.875,321,0.995,3.02,0.91,10.7,0,7,1,3
"414",11,0.25,0.36,2.1,0.034,30,189,1.00255,3.25,0.6,6.3,0,8,3,4
"415",6.9,0.36,0.35,8.6,0.131,37,315,1.02753,3.81,0.32,12.4,0,8,4,5
"416",16,0.45,0.11,44.5,0.402,3,111,0.96006,2.07,0.62,7.6,1,7,1,3
"417",8.7,0.26,0.29,2.1,0.033,211,17,0.9909,3.33,0.26,16.4,2,8,4,6
"418",8.1,0.87,1.69,1.2,0.3093275,49,64,0.98087,3.13,0.98,9.7,0,9,0,1
"419",2,0.3,0.19,45.7,0.042,21,582,0.99166,3.0288,0.57,11.4,1,8,2,4
"420",6.2,0.4,0.63,30,0.22302,29,362,0.9952,2.64,0.37,10.7,0,7,0,2
"421",6,0.48,0.96,1.2,0.354,192,124,0.99176,3.08,0.46,13.6,2,6,0,2
"422",6.7,0.58,0.62,1.8,0.893,33,65,0.97398,3.28,0.54,1.9,0,7,1,3
"423",11.5,0.54,0.24,10.6,0.124,115.155,132,0.985,2.62,1.7,11.8,1,13,3,4
"424",5.2,0.44,0.02,62.2,0.036,43,257,0.99383,2.88,0.13,18.7,1,6,0,2
"425",7.3,0.25,0.04,69,0.704,35,200,0.96278,3.04,0.8361,8.9,0,8,1,3
"426",6.9,0.91,0.33,48.8,0.067,334,190,0.99595,3.22,0.48,9.4,0,7,1,3
"427",8.6,1.84,0.1,66.5,0.035,49,804,1.02135,0.62,0.34,10.5,1,6,3,4
"428",6.8,0.24,0.95,3.2,0.049,265,161,0.95257,3.1,0.69,7.9,1,7,0,2
"429",5.5,0.31,0.97,33.3,0.348,36,148,0.9928,3.28,0.41,13.3,0,7,4,5
"430",10,0.35,1.46,119.9,0.069,157,281,0.99941,3.15,0.43,13,1,11,3,4
"431",8,1.55,0.69,79.9,0.285,13,18,0.99868,2.83,0.55,9.5,2,9,3,4
"432",4.4,0.32,0.39,54.8,0.026,31,559,0.98904,2.96,0.49,15.6,1,5,2,4
"433",7.4,0.31,0.65,20.8,0.26555,273,204,1.01318,3.55,0.06,13.2,1,8,1,3
"434",11.8,0.58,0.2,19.3,0.642,34,44,0.99494,3.1,0.7548,9.3,1,8,0,1
"435",7.6,0.22,0.28,27.9,0.398,29,451,1.04444,2.86,0.03,4.2,1,8,1,3
"436",7.1,0.86,0.35,97.8,0.046,60,590,0.999,3.16,0.59,9.1,0,8,1,3
"437",1.5,0.18,0.74,66.6,1.071,107.35,528,1.01187,3.89,0.67,12.4,0,8,1,3
"438",6.6,0.78,0.35,14.4,0.22318,264,183,1.03426,3.02,0.5,2.9,0,7,4,5
"439",8.4,0.65,0.42,58.8,0.554,7,77,0.99317,2.48,0.45,11.7,2,9,0,1
"440",6.7,0.24,0.33,12.3,0.046,53,177,0.9983,2.93,0.4,9.5,1,7,1,3
"441",2,0.33,0.36,40.4,0.034,19,219,0.98601,3.65,0.98,12.7,1,9,1,3
"442",6.3,0.4,0.38,3.1,0.342,112,220,0.95745,3.8,0.55,11.3,1,7,3,5
"443",5.8,0.18,0.66,2,0.039,185,88,1.02778,4.03,0.93,11.5,1,7,2,4
"444",7.9,0.37,0.31,0.35,0.042,36,246,1.00631,3.49,0.36,12,1,9,1,3
"445",0.3,0.26,1.23,2.6,0.222,112,79,0.9902,3.46,0.38,11.5,1,6,2,4
"446",5.9,0.22,0.27,11.5,0.312,81,157,0.9928,3.05,2.24,14.9,0,7,1,3
"447",8,1.08,0.1,47.7,0.139,284,68,0.98386,2.43,0.28,17.1,1,9,0,1
"448",8.2,0.08,0.44,27.1,0.089,358,247,0.9975,3.53,0.61,10.5,0,9,2,4
"449",11.9,0.4,1.7,2.15,0.068,44,411,0.9988,3.72,0.68,6.8,1,13,0,0
"450",5.8,1.34,0.32,21.0065,0.037,111,119,1.00053,3.78,1.82,10.2,1,6,2,4
"451",6.2,1.69,0.65,44.6,0.102,32,284,0.96657,3.87,0.71,9.8,0,11,1,2
"452",11.4,1.37,0.32,15.6,0.249,200,90,1.01194,3.37,0.92,11,0,7,2,4
"453",6.8,0.7,0.13,11.3,0.017,16,61,0.96051,4.57,0.6,9.3,0,8,0,1
"454",1.6,0.69,0.41,2.3,0.079,24,37,0.99514,2.33,0.24,14.9,0,8,0,1
"455",5.1,0.41,0.33,73.8,0.043,92.165,152,0.96967,3.2,1.75,9.4,1,8,2,4
"456",13.9,0.7,0.38,1.2,0.029,73,132,0.93975,4,0.7269,7.3,0,6,2,4
"457",9.4,1.55,1.86,21.5,0.494,339,445,1.0004,3.28,2.75,4.1,0,12,0,0
"458",6.2,1.815,0,2.1,0.06,6,60,0.99676,4.41,0.35,10,1,7,1,3
"459",7.1,0.29,0.25,1.2,0.442,183,406,0.9893,3.24,1.02,11.8,1,8,3,4
"460",3.8,1.11,1.26,21.7,0.308,121.34,90,0.9944,2.76,0.42,10.5,1,9,3,4
"461",7,0.55,0.22,28.7075,0.154,88,801,1.01214,3.66,0.49,16.7,1,7,3,5
"462",6.7,0.23,1.2,9.3,0.172,63,112,0.9937,2.48,0.96,12.9,0,7,2,4
"463",6.4,1.41,0.7,9.1,0.044,35,129,1.00663,1.83,1.78,11,0,7,0,1
"464",7.2,0.49,0.32,31.2035,0.022,120,116,0.99218,3.04,0.67,5.3,0,8,2,4
"465",4.2,0.39,0.35,19.416,0.044,251,421,0.9941,3.17,1.07323333333333,9.9511666667,0,8,2,4
"466",7,1.09,1.31,2.1,0.451,15,31,0.993,3.2,3.31,14.7,0,8,0,0
"467",7.8,0.59,0.18,2.3,0.097,238,131,0.9975,3.43,1.66,10,1,9,1,2
"468",6.9,1.11,1.08,14.2,0.2,40,94,1.01779,3.47,1.22,9.6,1,7,2,4
"469",2.6,0.67,0.53,1.6,0.333,9,458,0.99672,3.07,0.95,11.2,0,11,3,4
"470",5,0.255,1.46,2.7,0.483,46,153,0.99238,2.96,0.76,10.4,1,5,2,4
"471",7.9,0.03,0.91,4.9,0.01,31,519,0.9966,2.85,0.51,9.7,1,9,0,1
"472",8.9,1.23,0.26,30.2,0.041,90,187,0.9953,4.18,0.61,9.5,1,10,1,2
"473",6,0.14,0.75,25.7305,0.21126,138,168,0.99185,2.45,0.44,10.8591666667,1,7,0,2
"474",3.8,1.13,1.38,9.6,0.027,102,243,0.95283,3.99,0.85,13.1,1,7,2,4
"475",3.7,0.48,0.38,15.4,0.324,444,4,0.9966,3.4,1.15,15.9,1,9,0,1
"476",3.7,1.32,0.38,0.95,0.033,89,159,0.97527,3.34,0.42,8,1,5,1,3
"477",4,1.58,1.1,6.3,0.051,26,229,0.99404,3.36,0.87,6.3,0,8,3,4
"478",1.9,0.47,0.61,7.9,0.536,53,128,0.97687,2.57,1.67,9.6,0,7,3,5
"479",7.2,1.59,0.24,42.8,0.30473,19,114,0.99176,3.14,0.59,12.8,1,8,2,4
"480",6.4,0.26,0.06,7.1,0.04,35,509,0.94944,3.39,3.83,3.3,1,7,2,4
"481",8.1,0.51,2.12,86.7,0.055,58,218.09,0.9968,2.46,0.8,13.4,2,8,2,4
"482",2.1,0.82,1.07,51.6,0.418,31,12,0.99605,3.52,0.47,12.7,1,9,0,1
"483",7,0.3,0.49,23.743,0.19,18,49,0.96549,3.23,0.45,12.4,1,8,3,5
"484",6.2,0.6,1.04,0.7,0.051,254,111,0.9916,3.37,2.85,11,1,7,0,1
"485",0.6,1.88,0.33,2.7,0.247,195,121,1.02505,3.22,0.68,10,0,11,1,2
"486",15.8,0.18,0.34,63.3,0.066,139,156.16,0.97883,2.81,1.8,11.8,0,8,0,1
"487",5.8,1,0.2,2.6,0.027,129.8,123,0.96146,3.36,0.78,13.9,1,6,2,4
"488",8.9,1.18,0.91,4.6,0.032,13,212,0.99458,3.15,0.28,11.5,1,10,0,1
"489",25.8,0.49,0.96,44.8,0.751,13,289,0.9623,4.4,0.84,4.9,1,8,0,1
"490",11.1,0.13,0.92,26,0.474,46,172,0.9938,3.23,0.39,7.4,0,8,0,1
"491",6.9,0.41,0.93,9.9,0.079,54,278,0.96681,3.47,0.55,12.9,1,8,0,1
"492",6.8,0.26,0.34,34.7,0.06,42,162,0.99705,2.11,1.19,13.2,0,7,0,2
"493",6.3,0.17,0.32,54.2,0.43,267,92,1.06352,3.24,0.43,15.4,1,7,3,5
"494",14,0.13,1.33,39.65,0.315,36,105,0.96002,4.08,0.55,8.5,0,8,2,4
"495",8.4,0.75,1.96,11.8,0.646,51,170,1.06136,5.35,0.82,7.4,1,9,0,0
"496",6.5,0.05,0.61,44.2,0.258,31,123,0.99708,3.41,2.94,9.563,0,7,2,4
"497",2.2,0.32,0.28,22.7,0.034,15,100,0.99026,3.08,0.47,8.4,1,7,2,4
"498",2.2,1.02,1.42,34.7,0.21733,41,294,0.99612,3.33,0.48,15.9,0,6,0,2
"499",3.4,0.19,1.35,54.2,0.202,85,207,1.03187,2.99,0.59,21.8,1,8,2,4
"500",6.1,0.48,0.25,21.4,0.526,24,115,0.9921,3.39,2.34,12.1,0,7,2,4
"501",3.1,0.9,0.04,1.7,0.251,219,241,0.9942,3.96,1.81,15.7,1,6,0,1
"502",1.6,0.61,0.01,2,0.176,13,38,1.04031,2.18,0.65,8.2,0,8,0,1
"503",15.5,0.84,1.96,23.1,0.369,16,65,0.997,3.57,0.72,15.95,1,8,1,3
"504",6.7,0.58,1.15,10.6,0.035,42,523,0.99307,3.08,0.7117,9.8,0,7,2,4
"505",6.7,0.47,0.5,61.5,0.052,24,166,0.9053,2,1.02,8.5,0,7,2,4
"506",4.4,0.22,0.31,2.3,0.49,28,40,1.03272,3.1545,0.76,14.1,1,8,2,4
"507",0.3,0.6,0.51,70.8,0.047,4,224,1.00474,2.45,2.23,8.9,1,7,1,3
"508",0.2,0.54,0.91,51.7,0.004,198,191,0.99297,2.8,1.02,9.5,0,7,1,3
"509",6.7,0.18,0.52,54.5,0.459,42,227,0.99572,3.08,0.35,9.8,1,7,3,4
"510",6.5,0.82,0.3,40.65,0.051,10,260,1.02662,3.24,1.13,12.15,1,7,2,4
"511",6.6,0.29,0.34,9,0.553,132.83,253,0.96336,2.9,0.45,8.9,0,7,2,4
"512",4.2,2.49,1.01,33.5,0.029,53,160,0.9852,3.03,0.46,7.3,0,8,1,3
"513",9.8,0.66,0.49,25.4,0.088,15,205,0.99469,3.42,1.84,16.8,0,11,0,0
"514",12.7,0.23,1.38,8.1,0.592,235,151,0.94438,3.18,0.4,5.4,1,7,3,4
"515",8.2,0.8,0.42,22.8235,0.335,117,186.62,0.9624,3.43,1.34,13,1,7,3,5
"516",16.7,1.47,0.31,53.8,0.036,45,342,0.99216,4.17,1.15,14,1,8,2,4
"517",6.3,0.23,0.49,26.084,0.145,67,210,0.9703,2.16,1.06,11.3,1,7,2,4
"518",7.6,1.1,0.6,57.7,0.368,23,381,1.03987,3.38,0.98,10.5,1,9,2,4
"519",5.8,0.18,1.87,27.4,0.22484,222,418,0.98871,2.96,0.34,12.1,1,6,3,4
"520",7.4,1.59,0.24,38.2,0.31,255,194.89,0.9953,3.13,0.51,12,0,8,2,4
"521",14.3,1.48,0.26,14.9,0.127,40,255,0.9951,3.72,0.37,12.9,0,7,1,3
"522",6.8,0.19,2.1,50,0.038,124,164,0.98487,3.12,0.48,4.9,1,8,1,3
"523",0.4,0.69,1.49,60.3,0.069,35,182,0.99391,3.11,0.46,12.73333333,0,6,0,2
"524",8.4,2.41,0.4,40.9,0.067,214,20,0.99603,4.22,0.29,10.5,1,9,1,2
"525",11.8,0.2,0.31,3.6,0.036,22,183,0.95994,3.41,0.5,9.8,0,6,3,5
"526",0.8,0.44,0.36,25.7,0.116,112,178,0.9976,3.01,0.48,13.4,1,8,2,4
"527",7.3,0.18,1.25,13.5,0.055,45,197,1.0002,4.01,0.8513,14.4,0,8,1,3
"528",3.1,0.27,0.32,4.5,0.231,29,178,1.00787,3.45,0.42,12.1,0,6,3,5
"529",4,0.61,0.3,27.1,1.201,18,275,0.92656,3.88,1.94,9.6,1,8,2,4
"530",6.2,0.97,0.29,2.1,0.225,123,98,1.06779,4.3,0.8604,9.8,0,7,0,1
"531",1.2,1.22,0.61,16.1,0.052,38,231,0.998,2.82,1.53,9.199,1,8,3,4
"532",13.8,0.36,0.38,27,0.028,107,318,0.99274,2.74,0.43,12.1,0,7,2,4
"533",7.2,0.35,1.26,28,1.145,16,75,1.01934,3.4,3.41,9.5,0,8,2,4
"534",6.3,0.015,0.22,21.3315,0.109,26,141,0.99824,2.88,0.5,10,1,7,0,2
